
 Name                 Type            Min        Max      Global  CL    Cfg
 edl-backward-delay   Integer         0          No         No    Yes   Yes
 edlout               String          No         No         No    Yes   Yes
 noalsa               Print           No         No         No    Yes   Yes
 alsa                 Print           No         No         No    Yes   Yes
 nowaveheader         Print           No         No         No    Yes   Yes
 waveheader           Print           No         No         No    Yes   Yes
 aofile               Print           No         No         No    Yes   Yes
 abs                  Integer         0          No         No    Yes   Yes
 master               Print           No         No         No    Yes   Yes
 volume               Float           -1         10000      No    Yes   Yes
 volstep              Integer         0          100        No    Yes   Yes
 softvol-max          Float           10         10000      No    Yes   Yes
 nosoftvol            Flag            No         No         No    Yes   Yes
 softvol              Flag            No         No         No    Yes   Yes
 mixer-channel        String          No         No         No    Yes   Yes
 mixer                String          No         No         No    Yes   Yes
 dsp                  Print           No         No         No    Yes   No 
 aop                  Print           No         No         No    Yes   No 
 noborder             Flag            No         No         No    Yes   Yes
 border               Flag            No         No         No    Yes   Yes
 rootwin              Flag            No         No         No    Yes   Yes
 noontop              Flag            No         No         No    Yes   Yes
 ontop                Flag            No         No         No    Yes   Yes
 nofixed-vo           Flag            No         No         Yes   Yes   Yes
 fixed-vo             Flag            No         No         Yes   Yes   Yes
 ao                   String list     No         No         No    Yes   Yes
 vo                   String list     No         No         No    Yes   Yes
 o                    Print           No         No         No    Yes   No 
 list-options         Print           No         No         No    Yes   No 
 show-profile         Print           No         No         No    Yes   No 
 profile              String list     No         No         No    Yes   Yes

Total: 574 options
MPlayer 1.1-4.8 (C) 2000-2012 MPlayer Team
